branches																		
bID	area_number	local_number	street	city	post_code													
0	0131	6636098	10 Merchiston	Edinburgh	EH3 9AD													
1	0131	0020002	21 Dirkiston	Jedinburgh	JD3 9PC													
2	0131	0020002	22 Dirkiston	Jedinburgh	JD4 9PC													
3	0131	0020002	23 Dirkiston	Jedinburgh	JD5 9PC													
4	0131	0020002	24 Dirkiston	Jedinburgh	JD6 9PC													
5	0131	6636098	10 Merchiston	Edinburgh	EH3 9AD													
6	0131	0020002	21 Dirkiston	Jedinburgh	JD3 9PC													
7	0131	0020002	22 Dirkiston	Jedinburgh	JD4 9PC													
8	0131	0020002	23 Dirkiston	Jedinburgh	JD5 9PC													
9	0131	0020002	24 Dirkiston	Jedinburgh	JD6 9PC													
10	0131	6636098	10 Merchiston	Edinburgh	EH3 9AD													
11	0131	0020002	21 Dirkiston	Jedinburgh	JD3 9PC													
12	0131	0020002	22 Dirkiston	Jedinburgh	JD4 9PC													
13	0131	0020002	23 Dirkiston	Jedinburgh	JD5 9PC													
14	0131	0020002	24 Dirkiston	Jedinburgh	JD6 9PC													
15	0131	6636098	10 Merchiston	Edinburgh	EH3 9AD													
16	0131	0020002	21 Dirkiston	Jedinburgh	JD3 9PC													
17	0131	0020002	22 Dirkiston	Jedinburgh	JD4 9PC													
18	0131	0020002	23 Dirkiston	Jedinburgh	JD5 9PC													
19	0131	0020002	24 Dirkiston	Jedinburgh	JD6 9PC													
																		
customers																		
title	firstName	surname	street	city	postcode	area_code	local_number	area_code2	local_number2	area_code3	local_number3	niNum						
Mr.	Frodo	Baggins	10 Merchiston	Edinburgh	EH3 9AD	0123	4567899	0754	0422123	0777	9257706	BJX1236ASDASD						
Mr.	Gandalf	the Grey	10 Merchiston	Edinburgh	EH3 9AD	0472	5836901	0701	4725836	0759	8745632	BJX1236ASDASD						
Mr.	Samwise	Gamgee	10 Merchiston	Edinburgh	EH3 9AD	0472	5836901	0770	1234567	0472	5836901	BJX1236ASDASD						
Mr.	Meriadoc	Brandybuck	10 Merchiston	Edinburgh	EH3 9AD	0770	1234567	0472	5836901	0472	5836901	BJX1236ASDASD						
Mr.	Peregrin	Took	10 Merchiston	Edinburgh	EH3 9AD	0123	4567899	0754	0422123	0777	9257706	BJX1236ASDASD						
Mr.	Aragorn	Strider	10 Merchiston	Edinburgh	EH3 9AD	0123	4567899	0754	0422123	0777	9257706	BJX1236ASDASD						
Mr.	Legolas	Thranduilson	10 Merchiston	Edinburgh	EH3 9AD	0123	4567899	0754	0422123	0777	9257706	BJX1236ASDASD						
Mr.	Gimli	Gloinson	10 Merchiston	Edinburgh	EH3 9AD	0123	4567899	0754	0422123	0777	9257706	BJX1236ASDASD						
Mr.	Boromir	Denethorson	10 Merchiston	Edinburgh	EH3 9AD	0123	4567899	0754	0422123	0777	9257706	BJX1236ASDASD						
Mr.	Sauron	Dark Lord	10 Merchiston	Edinburgh	EH3 9AD	0123	4567899	0754	0422123	0777	9257706	BJX1236ASDASD						
Mr.	Gollum	Smeagol	20 Dirkiston	Jedinburgh	JD3 9PC	0123	4567899	0754	0422123	0777	9257706	BJX1236ASDASD						
Mr.	Bilbo	Baggins	20 Dirkiston	Jedinburgh	JD3 9PC	0123	4567899	0754	0422123	0777	9257706	BJX1236ASDASD						
Mr.	Tom	Bombadil	20 Dirkiston	Jedinburgh	JD3 9PC	0123	4567899	0754	0422123	0777	9257706	BJX1236ASDASD						
Mr.	Glorfindel	Rivendell	20 Dirkiston	Jedinburgh	JD3 9PC	0123	4567899	0754	0422123	0777	9257706	BJX1236ASDASD						
Mr.	Elrond	Rivendell	10 Merchiston	Edinburgh	EH3 9AD	0123	4567899	0754	0422123	0777	9257706	BJX1236ASDASD						
Ms.	Arwen	Evenstar	20 Dirkiston	Jedinburgh	JD3 9PC	0123	4567899	0754	0422123	0777	9257706	BJX1236ASDASD						
Ms.	Galadriel	Goldenwood	20 Dirkiston	Jedinburgh	JD3 9PC	0123	4567899	0754	0422123	0777	9257706	BJX1236ASDASD						
